vr complete time:,352898.3638
vr complete time:,370313.074
vr complete time:,381569.2015
vr complete time:,390013.0071
vr complete time:,398170.9535
vr complete time:,405545.0823
vr complete time:,415363.2471
vr complete time:,436835.886
vr complete time:,460379.1525
vr complete time:,476381.2508
vr complete time:,483034.9914
ar complete time:,2893.4411
ar complete time:,7616.4174
ar complete time:,11803.8401
ar complete time:,17932.639
ar complete time:,25482.8515
ar complete time:,31435.9379
ar complete time:,40902.405
ar complete time:,49037.7784
ar complete time:,56814.768
