vr complete time:,12300.162
vr complete time:,18057.096
vr complete time:,30994.7802
vr complete time:,48149.6192
vr complete time:,69176.2803
vr complete time:,79151.8677
vr complete time:,86353.4429
vr complete time:,94412.2683
vr complete time:,101184.3744
vr complete time:,113358.6126
ar complete time:,16847.1492
ar complete time:,23555.9391
ar complete time:,34644.3987
ar complete time:,45319.4103
ar complete time:,82996.3812
ar complete time:,91021.3241
ar complete time:,103498.2872
ar complete time:,111798.2252
ar complete time:,136194.5247
ar complete time:,144715.7964
ar complete time:,148495.598
