task complete time:,82103.0335,19.2758
task complete time:,68227.9127,11.0921
task complete time:,95455.9859,1.6133
task complete time:,100500.4096,1.7221
task complete time:,123227.1053,2.5370
task complete time:,126892.9608,2.5370
task complete time:,192695.7503,2.5370
task complete time:,7916.9896,0.0735
task complete time:,14042.7616,0.1294
task complete time:,73118.0344,2.2583
task complete time:,73743.2147,2.2583
task complete time:,101064.9638,2.3056
task complete time:,9652.2905,0.0713
task complete time:,16842.1516,0.1761
task complete time:,80843.5077,2.8067
task complete time:,6265.4042,0.0447
task complete time:,37954.0289,0.5481
task complete time:,52611.1356,0.5997
task complete time:,266779.542,2.1922
task complete time:,297689.1757,2.5400
task complete time:,400626.4613,2.6291
task complete time:,413235.9411,2.6291
task complete time:,414612.9056,2.6291
task complete time:,415378.4736,2.6291
task complete time:,416030.3354,2.6291
task complete time:,416303.4886,2.6291
task complete time:,416536.6118,2.6291
task complete time:,416722.611,2.6291
task complete time:,9402.6807,0.0208
task complete time:,12627.0746,0.1768
task complete time:,49741.1264,0.4259
task complete time:,62409.3685,0.4674
task complete time:,87570.8908,0.5169
